Order,PID,MS SubClass,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Kitchen_Qual_Ord,Price_Per_SqFt,Total_Bathrooms,Qual_x_Area,Log_SalePrice,House_Age,Age_Group
2304,923400150,20,63.0,0.07257158143840178,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,1992,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,PConc,Gd,TA,Mn,BLQ,212.0,Unf,0.0,762.0,974.0,GasA,TA,Y,SBrkr,974,0,0,0.0,0.0,1,0,3,1,TA,5,Typ,0,,,,,0.0,0.0,,,Y,0,28,0,0,0,0,,MnPrv,,0,9,2007,oth,abnorml,93500.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.0,-5.142193025913954,11.44572741040675,16,Recent (6-20yr)
2231,909475230,20,70.0,0.9834706221323037,Pave,,IR1,HLS,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,1Story,8,5,1986,Gable,CompShg,WdShing,Plywood,,0.0,Gd,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,279.0,279.0,GasA,Gd,Y,SBrkr,2726,0,0,0.0,0.0,2,1,2,1,Gd,6,Typ,1,Gd,Attchd,1986.0,Fin,2.0,691.0,Gd,Gd,Y,216,64,169,0,0,228,Ex,,,0,8,2007,wd,normal,315000.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,128875.26248879595,2.5,19.553791405228615,12.660331092405906,21,Old (21-50yr)
1748,528235000,80,87.0,0.11878740838031825,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,SLvl,7,5,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,192.0,Unf,0.0,192.0,384.0,GasA,Ex,Y,SBrkr,744,630,0,1.0,0.0,2,1,3,1,Gd,8,Typ,1,Gd,BuiltIn,2004.0,Fin,2.0,400.0,TA,TA,Y,100,0,0,0,0,0,,,,0,6,2007,wd,family,175000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,3.5,-1.6491529495547486,12.07254696717504,3,New (0-5yr)
543,531376090,20,61.0,-0.3478433604203222,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,2009,Gable,CompShg,VinylSd,VinylSd,BrkFace,140.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1450.0,1450.0,GasA,Ex,Y,SBrkr,1450,0,0,0.0,0.0,2,0,2,1,Gd,6,Typ,0,,Attchd,2008.0,RFn,3.0,788.0,TA,TA,Y,0,93,0,0,0,0,,,,0,2,2009,new,partial,224243.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0.0,2.0,-0.5946686650770387,12.320490023710256,1,New (0-5yr)
2703,904301410,30,55.0,-0.23329768181697008,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,7,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,TA,N,SBrkr,1032,0,0,0.0,0.0,1,0,2,1,TA,6,Typ,1,TA,Detchd,1939.0,Unf,1.0,260.0,TA,TA,Y,0,0,121,0,0,0,,,,0,6,2006,wd,normal,125000.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.0,-4.567380164074602,11.736077016252437,71,Vintage (50+yr)
2514,533223110,160,,-0.705767547032315,Pave,,IR1,Lvl,AllPub,FR2,Gtl,Norm,Norm,TwnhsE,2Story,7,5,2003,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,530.0,530.0,GasA,Ex,Y,SBrkr,530,550,0,0.0,0.0,2,1,2,1,Gd,4,Typ,0,,Attchd,2003.0,RFn,2.0,496.0,TA,TA,Y,0,50,0,0,0,0,,,,0,7,2006,wd,normal,139000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0.0,2.5,-5.728342155297468,11.842236406331555,3,New (0-5yr)
643,535303110,20,53.0,-0.2484544852764158,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,1Story,6,7,1954,Hip,CompShg,MetalSd,MetalSd,BrkFace,80.0,TA,TA,CBlock,TA,TA,No,ALQ,490.0,Unf,0.0,572.0,1062.0,GasA,Gd,Y,SBrkr,1062,0,0,1.0,0.0,1,0,3,1,TA,6,Typ,0,,Attchd,1954.0,Unf,1.0,297.0,TA,TA,Y,0,0,0,0,0,0,,,,0,2,2009,wd,normal,131000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,2.0,-5.1240757998857855,11.782960235741939,55,Vintage (50+yr)
2884,911370430,120,41.0,-0.5441363888295373,Pave,,IR1,HLS,AllPub,Inside,Mod,Norm,Norm,TwnhsE,1Story,8,5,2006,Hip,CompShg,CemntBd,CmentBd,Stone,473.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1573.0,Unf,0.0,0.0,1573.0,GasA,Ex,Y,SBrkr,1778,0,0,2.0,0.0,2,0,2,1,Ex,5,Typ,1,Gd,Attchd,2005.0,Fin,2.0,495.0,TA,TA,Y,123,53,0,0,153,0,,,,0,2,2006,new,partial,375000.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,663504.8432290242,4.0,4.5214440114711865,12.834683971615659,1,New (0-5yr)
745,903232060,30,51.0,-0.4979205618876208,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1999,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,960.0,960.0,GasA,Gd,Y,SBrkr,995,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1926.0,Unf,1.0,264.0,TA,TA,Y,0,15,51,0,0,0,,MnPrv,,0,3,2009,wd,abnorml,115000.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.0,-4.934071127661776,11.652696102959753,84,Vintage (50+yr)
1264,535426260,20,,0.09841268897581744,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,6,5,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733.0,Unf,0.0,520.0,1253.0,GasA,TA,Y,SBrkr,1253,0,0,1.0,0.0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1.0,352.0,TA,TA,Y,0,213,176,0,0,0,,GdWo,,0,5,2008,wd,normal,157000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,2.5,-2.8525739389619975,11.964007453736912,48,Old (21-50yr)
901,908275110,20,70.0,0.2036406605344283,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,1956,Hip,CompShg,HdBoard,HdBoard,BrkFace,259.0,TA,TA,CBlock,TA,TA,No,Rec,546.0,Unf,0.0,604.0,1150.0,GasA,Ex,Y,SBrkr,1560,0,0,0.0,0.0,1,0,2,1,TA,7,Min1,1,TA,Attchd,1956.0,Unf,1.0,313.0,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2009,wd,normal,103500.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,777728.8607846284,1.0,0.6653989919801986,11.547336553476635,53,Vintage (50+yr)
2828,908186090,180,35.0,-0.8016778115461847,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,SFoyer,6,5,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,Gd,Y,SBrkr,1072,0,0,1.0,0.0,1,0,2,1,TA,5,Typ,0,,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,0,0,,,,0,10,2006,new,partial,142500.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,2.0,-5.005149000884541,11.86710429621008,1,New (0-5yr)
930,909426090,50,78.0,0.6798376085676697,Pave,,Reg,Bnk,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,5,7,2005,Gable,CompShg,BrkComm,Brk Cmn,,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,312.0,Rec,507.0,248.0,1067.0,GasW,Fa,N,SBrkr,986,537,0,1.0,0.0,2,0,3,1,Fa,7,Maj2,1,TA,Attchd,1949.0,Unf,1.0,295.0,TA,TA,Y,0,0,81,0,0,0,,,,0,10,2009,wd,normal,158000.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2644723.0235156496,3.0,0.2987080283930251,11.970356641102999,60,Vintage (50+yr)
868,907260030,60,70.0,-0.17130387094595848,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,2002,Gable,CompShg,VinylSd,VinylSd,,,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,840.0,840.0,GasA,Ex,Y,SBrkr,840,885,0,0.0,0.0,2,1,3,1,Gd,6,Typ,0,,Attchd,2002.0,RFn,2.0,550.0,TA,TA,Y,0,48,0,0,0,0,,,,0,11,2009,wd,normal,198500.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,431401.2322141016,2.5,3.2208994695462536,12.198549416880068,7,Recent (6-20yr)
2684,903235020,30,50.0,-0.5128288931592068,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,7,1950,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,616.0,Unf,0.0,0.0,616.0,GasA,Gd,Y,SBrkr,616,0,0,0.0,0.0,1,0,2,1,TA,4,Typ,0,,Detchd,1921.0,Unf,1.0,205.0,TA,TA,Y,0,0,129,0,0,0,,,,0,6,2006,wd,normal,89000.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.0,-8.690175862784445,11.39640288460621,85,Vintage (50+yr)
2804,907290230,120,37.0,-0.7072583801594736,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,6,5,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,169.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,662.0,Unf,0.0,186.0,848.0,GasA,Ex,Y,SBrkr,848,0,0,1.0,0.0,1,0,1,1,Gd,3,Typ,1,Gd,Attchd,2004.0,RFn,2.0,420.0,TA,TA,Y,140,0,0,0,0,0,,,,0,5,2006,wd,normal,155900.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,2.0,-7.669109298512439,11.956976469393481,2,New (0-5yr)
436,528116010,20,129.0,0.8376174478586211,Pave,,IR1,Lvl,AllPub,FR3,Gtl,Norm,Norm,1Fam,1Story,8,5,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,238.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1531.0,Unf,0.0,251.0,1782.0,GasA,Ex,Y,SBrkr,1782,0,0,1.0,0.0,2,0,3,1,Gd,7,Typ,2,Gd,Attchd,2004.0,Fin,3.0,932.0,TA,TA,Y,99,82,0,0,0,0,,,,0,4,2009,wd,normal,296000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,516481.19885792,3.0,4.5848716376051835,12.598118111678868,5,New (0-5yr)
2411,528218030,20,65.0,0.013559436821707372,Pave,,Reg,Lvl,AllPub,Inside,Gtl,RRAn,Norm,1Fam,1Story,6,5,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,28.0,Unf,0.0,1288.0,1316.0,GasA,Ex,Y,SBrkr,1316,0,0,0.0,0.0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2005.0,Fin,2.0,397.0,TA,TA,Y,100,0,0,23,0,0,,,,0,10,2006,new,partial,169990.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,2.0,-2.103335105254151,12.043500773454495,1,New (0-5yr)
238,905451320,20,68.0,-0.06918180173559468,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1956,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,739.0,Unf,0.0,405.0,1144.0,GasA,TA,Y,SBrkr,1144,0,0,1.0,0.0,1,0,3,1,TA,6,Typ,0,,Attchd,1956.0,Unf,1.0,596.0,TA,TA,Y,44,0,0,0,0,0,,,,0,6,2010,wd,normal,129000.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,2.0,-3.4573967067296447,11.767575435251748,54,Vintage (50+yr)
870,907275010,20,90.0,0.6984730226571522,Pave,,Reg,Lvl,AllPub,FR3,Gtl,Feedr,Norm,1Fam,1Story,8,5,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,260.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1246.0,Unf,0.0,216.0,1462.0,GasA,Ex,Y,SBrkr,1513,0,0,1.0,0.0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1999.0,Fin,2.0,521.0,TA,TA,Y,135,34,0,0,0,0,,,,0,6,2009,wd,normal,220000.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5510956.813834109,3.0,0.31936378009384625,12.301387370778713,10,Recent (6-20yr)
110,534102025,20,80.0,-0.26435670529944083,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,2002,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,833.0,Unf,0.0,659.0,1492.0,GasA,Ex,Y,SBrkr,1492,0,0,1.0,0.0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2002.0,RFn,2.0,596.0,TA,TA,Y,277,137,0,0,0,0,,,,0,4,2010,wd,normal,230000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0.0,3.0,-0.011927349970935922,12.345838935721968,8,Recent (6-20yr)
1949,535378080,50,60.0,0.019398533236411872,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1.5Fin,4,7,1993,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,Mn,ALQ,1030.0,LwQ,66.0,55.0,1151.0,GasA,Ex,Y,SBrkr,845,436,0,1.0,0.0,2,0,1,1,TA,6,Mod,0,,Detchd,1978.0,Unf,2.0,580.0,TA,TA,Y,0,0,0,0,0,0,,,,0,8,2007,wd,abnorml,128500.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0,3.0,-1.679719267839007,11.763691965388299,82,Vintage (50+yr)
